time,open,high,low,close
2025-11-12T04:15:00+09:00,103150,103440,103150,103410
2025-11-12T04:30:00+09:00,103450,103460,103260,103270
2025-11-12T04:45:00+09:00,103270,103460,103260,103260
2025-11-12T05:00:00+09:00,103260,103260,103000,103100
2025-11-12T05:15:00+09:00,103120,103300,103050,103050
2025-11-12T05:30:00+09:00,103040,103040,102910,102960
2025-11-12T05:45:00+09:00,102970,103010,102880,102890
2025-11-12T06:00:00+09:00,102920,103200,102880,103130
2025-11-12T06:15:00+09:00,103100,103100,102910,102910
2025-11-12T06:30:00+09:00,102910,102910,102650,102720
2025-11-12T06:45:00+09:00,102720,102960,102670,102800
2025-11-12T07:00:00+09:00,102770,102970,102660,102930
2025-11-12T07:15:00+09:00,102890,103130,102780,103120
2025-11-12T07:30:00+09:00,103100,103210,103050,103170
2025-11-12T07:45:00+09:00,103180,103350,103130,103160
2025-11-12T08:00:00+09:00,103130,103140,102980,103140
2025-11-12T08:15:00+09:00,103150,103330,103150,103310
2025-11-12T08:30:00+09:00,103300,103300,102980,103170
2025-11-12T08:45:00+09:00,103170,103230,103040,103190
2025-11-12T09:00:00+09:00,103230,103430,102970,103080
2025-11-12T09:15:00+09:00,103120,103330,103080,103200
2025-11-12T09:30:00+09:00,103210,103210,103030,103080
2025-11-12T09:45:00+09:00,103130,103180,102980,102980
2025-11-12T10:00:00+09:00,103030,103340,102860,103330
2025-11-12T10:15:00+09:00,103340,103400,103190,103250
2025-11-12T10:30:00+09:00,103280,103400,103280,103310
2025-11-12T10:45:00+09:00,103300,103480,103280,103370
2025-11-12T11:00:00+09:00,103410,103470,103350,103450
2025-11-12T11:15:00+09:00,103470,103500,103380,103420
2025-11-12T11:30:00+09:00,103420,103420,103090,103120
2025-11-12T11:45:00+09:00,103170,103340,103140,103270
2025-11-12T12:00:00+09:00,103270,103360,103240,103320
2025-11-12T12:15:00+09:00,103360,103470,103350,103450
2025-11-12T12:30:00+09:00,103460,103480,103410,103410
2025-11-12T12:45:00+09:00,103470,103520,103400,103420
2025-11-12T13:00:00+09:00,103420,103520,103370,103520
2025-11-12T13:15:00+09:00,103530,103550,103350,103350
2025-11-12T13:30:00+09:00,103350,103350,103170,103170
2025-11-12T13:45:00+09:00,103190,103340,103190,103340
2025-11-12T14:00:00+09:00,103340,103450,103340,103430
2025-11-12T14:15:00+09:00,103420,103540,103420,103490
2025-11-12T14:30:00+09:00,103460,103460,103420,103450
